"screen_name","status_id","created_at","text","favorite_count","retweet_count","display_text_width","lang","urls_expanded_url","media_type","source","hashtags","is_retweet"
"ONU_es","xx1662081161139744768","2023-05-26 13:00:03","Los mensajes de odio pueden tener formas distintas.

Aunque puedan pasar desapercibidos, tienen graves consecuencias en la vida real.

Haz de tus redes sociales una zona de #NoAlOdio. https://t.co/RyHgLY8uq2",227,128,183,"es",,"photo","TweetDeck Web App","NoAlOdio",FALSE
"ONU_es","xx1662076969981292547","2023-05-26 12:43:24","Los plásticos no conocen fronteras y requieren una acción colectiva mundial. <U+0001F30E>

De cara al #DíaMundialDelMedioAmbiente, consulta esta nueva guía por un planeta #SinContaminaciónPorPlásticos de @unep_espanol y descubre cómo formar parte de la solución:

https://t.co/hPZMZVardb https://t.co/MDpLDhct6c",0,51,140,"es",,,"Twitter Web App","DíaMundialDelMedioAmbiente",TRUE
"ONU_es","xx1662020759990968322","2023-05-26 09:00:02","Las mujeres y hombres que están #SirviendoParaLaPaz en @UNPeacekeeping dedican sus vidas a proteger a los más vulnerables, haciendo enormes sacrificios personales.

Más acerca de su valioso aporte en vísperas del Día del Personal de Paz de la ONU: https://t.co/PNLGhEDwyn https://t.co/5OKo83hiWx",63,29,271,"es","https://peacekeeping.un.org/es","photo","TweetDeck Web App","SirviendoParaLaPaz",FALSE
"ONU_es","xx1661899953512525824","2023-05-26 01:00:00","<U+0001F40B> Las ballenas son nuestras mayores aliadas en la lucha contra el cambio climático.

Absorben toneladas de carbono a lo largo de su vida, según un reciente estudio.

Protegiendo a las ballenas protegemos al planeta.

Infórmate: https://t.co/IGJTzjlthZ

Vía @unep_espanol https://t.co/ztgbtMA8Mm",784,332,270,"es","https://www.unep.org/es/noticias-y-reportajes/reportajes/proteger-las-ballenas-para-proteger-el-planeta","photo","TweetDeck Web App",,FALSE
"ONU_es","xx1661839555677265947","2023-05-25 21:00:00","Nuestro planeta es ahora el hogar de 8 mil millones de personas:

8<U+FE0F><U+20E3> mil millones de sueños.
8<U+FE0F><U+20E3> mil millones de posibilidades.

El @unfpa_lac desmiente algunos de los mitos comunes sobre el crecimiento de la población mundial: https://t.co/KWh7o0RVki #8MilMillonesMásFuertes https://t.co/BKbObtTXeh",76,36,276,"es","https://www.unfpa.org/es/news/desmentimos-8-mitos-sobre-un-mundo-de-8-mil-millones-de-habitantes","photo","TweetDeck Web App","8MilMillonesMásFuertes",FALSE
"ONU_es","xx1661779162447904768","2023-05-25 17:00:01","El racismo es una grave amenaza a la vida, la dignidad y los derechos humanos.

El racismo y la xenofobia son inaceptables. Todos debemos ayudar a construir un mundo libre de discriminación, odio y violencia.

#CombateElRacismo, hoy y siempre. https://t.co/zLmCzHUVMw",440,248,243,"es",,"photo","TweetDeck Web App","CombateElRacismo",FALSE
"ONU_es","xx1661718767385075714","2023-05-25 13:00:02","Debemos acabar con el consumo indiscriminado de plástico.

Recuerda la regla de las tres 'R':

<U+267B> Reduce

<U+267B> Reutiliza

<U+267B> Recicla

Nuestro futuro, y el del planeta, depende de ello.

Vía @unep_espanol https://t.co/BA7w4yGP7H",126,86,198,"es",,"photo","TweetDeck Web App",,FALSE
"ONU_es","xx1661658369571078144","2023-05-25 09:00:02","""La ONU seguirá siendo un socio orgulloso en la promoción de la paz, el desarrollo sostenible y los derechos humanos para los pueblos de África"".

– @antonioguterres, en el #DíaDeÁfrica, pidió paz, justicia y solidaridad para el continente. https://t.co/spudxnOVHb",280,129,240,"es",,"photo","TweetDeck Web App","DíaDeÁfrica",FALSE
"ONU_es","xx1661537568628850688","2023-05-25 01:00:00","En esta Semana para la Protección de los Civiles dejemos claro que la guerra no es la respuesta, necesitamos paz.

<U+262E> Paz para las personas atrapadas en conflictos.
<U+262E> Paz para las personas forzadas a huir.
<U+262E> Paz para el mundo.

Via @acnuramericas https://t.co/XYA0anEBVA",83,30,245,"es",,"photo","TweetDeck Web App",,FALSE
"ONU_es","xx1661477170789728257","2023-05-24 21:00:00","El racismo y la discriminación nos hacen daño a todos, beneficiando a unos y perjudicando a otros.

#CombateElRacismo rechazando todas las formas de odio. Juntos, podemos crear un mundo de respeto y dignidad. https://t.co/kPjIqRwtlE",381,194,208,"es",,"photo","TweetDeck Web App","CombateElRacismo",FALSE
